reference,scenario,age,v.eff,risk,pop.size,plot.cost, cost.diff.per100k , vax.costs , c.costs , plot.dalys ,dalys.averted.per100k,icer.daly.averted
base,vaxbase,65+ yrs,40,Non-high,150576,-5803077.91,"$6,121,225 ","$2,714,981 ","$7,720,829 ",375.97,455.49,13438.67
vaxbase,vax70,0-4 yrs,10,High,14311,2876504.71,"($2,969,046)","$286,705 ","$3,721,936 ",-673.71,-804.64,3689.93
vaxbase,vax70,0-4 yrs,10,Non-high,209297,999540.89,"($1,010,719)","$4,193,058 ","$10,480,115 ",-16.90,-18.31,55188.56
vaxbase,vax70,5-19 yrs,10,High,40938,10624793.90,"($9,973,975)","$820,158 ","$44,312,787 ",-1172.41,-1383.86,7207.35
vaxbase,vax70,5-19 yrs,10,Non-high,598723,1550532.49,"($1,552,391)","$11,994,810 ","$69,315,151 ",-29.63,-31.84,48750.57
vaxbase,vax70,20-64 yrs,10,High,321847,2235757.57,"($2,272,139)","$6,447,884 ","$122,276,861 ",-259.18,-255,8910.33
vaxbase,vax70,20-64 yrs,10,Non-high,1913202,1284088.18,"($1,279,461)","$38,329,088 ","$132,121,324 ",-6.65,-6.46,198071.36
vaxbase,vax70,65+ yrs,10,High,157982,6119094.81,"($6,061,594)","$3,165,005 ","$93,767,545 ",-424.51,-420.44,14417.15
vaxbase,vax70,65+ yrs,10,Non-high,150576,1141594.00,"($1,177,396)","$3,016,646 ","$14,898,119 ",-46.68,-56.16,20964.35
vaxbase,vax70,0-4 yrs,20,High,14311,-4765546.01,"$4,886,590 ","$286,705 ","$2,597,723 ",1556.49,1801.65,2712.29
vaxbase,vax70,0-4 yrs,20,Non-high,209297,-500346.18,"$501,737 ","$4,193,058 ","$7,314,590 ",38.75,41.01,12235.51
vaxbase,vax70,5-19 yrs,20,High,40938,-17979373.84,"$16,773,907 ","$820,158 ","$33,362,659 ",2191.39,2541.33,6600.43
vaxbase,vax70,5-19 yrs,20,Non-high,598723,-1335336.04,"$1,308,442 ","$11,994,810 ","$52,186,691 ",55.27,58.48,22374.99
vaxbase,vax70,20-64 yrs,20,High,321847,-8874214.98,"$9,024,513 ","$6,447,884 ","$85,918,916 ",2104.81,2119.42,4258
vaxbase,vax70,20-64 yrs,20,Non-high,1913202,-763317.23,"$773,909 ","$38,329,088 ","$92,836,215 ",53.68,53.69,14414.73
vaxbase,vax70,65+ yrs,20,High,157982,-12343898.06,"$12,274,930 ","$3,165,005 ","$64,799,192 ",899.96,894.88,13716.81
vaxbase,vax70,65+ yrs,20,Non-high,150576,-1799240.65,"$1,879,256 ","$3,016,646 ","$10,295,525 ",98.94,119.54,15721.18
vaxbase,vax70,0-4 yrs,50,High,14311,-21803016.02,"$22,701,703 ","$286,705 ","$48,218 ",6625.09,7712.22,2943.6
vaxbase,vax70,0-4 yrs,50,Non-high,209297,-3905362.47,"$3,931,702 ","$4,193,058 ","$135,771 ",164.52,175.53,22398.47
vaxbase,vax70,5-19 yrs,50,High,40938,-101837643.48,"$96,662,487 ","$820,158 ","$657,632 ",12193.60,14264.81,6776.29
vaxbase,vax70,5-19 yrs,50,Non-high,598723,-9926231.29,"$9,852,966 ","$11,994,810 ","$1,028,685 ",307.09,328.24,30017.25
vaxbase,vax70,20-64 yrs,50,High,321847,-34802554.98,"$35,223,909 ","$6,447,884 ","$1,596,931 ",7567.82,7626.23,4618.78
vaxbase,vax70,20-64 yrs,50,Non-high,1913202,-5494035.83,"$5,536,120 ","$38,329,088 ","$1,725,500 ",192.95,193.19,28656.97
vaxbase,vax70,65+ yrs,50,High,157982,-52483104.06,"$52,488,163 ","$3,165,005 ","$1,269,644 ",3777.92,3779.48,13887.67
vaxbase,vax70,65+ yrs,50,Non-high,150576,-8191993.03,"$8,582,701 ","$3,016,646 ","$201,726 ",415.29,504.86,17000.32
vaxbase,vax70,0-4 yrs,60,High,14311,-21978686.19,"$22,876,449 ","$286,705 ","$23,210 ",6677.75,7770.2,2944.13
vaxbase,vax70,0-4 yrs,60,Non-high,209297,-3940503.90,"$3,965,346 ","$4,193,058 ","$65,355 ",165.82,176.85,22421.59
vaxbase,vax70,5-19 yrs,60,High,40938,-102930019.08,"$97,608,621 ","$820,158 ","$270,301 ",12323.70,14403.66,6776.66
vaxbase,vax70,5-19 yrs,60,Non-high,598723,-10038069.38,"$9,954,161 ","$11,994,810 ","$422,812 ",310.37,331.44,30033.22
vaxbase,vax70,20-64 yrs,60,High,321847,-35076908.89,"$35,477,487 ","$6,447,884 ","$780,798 ",7625.40,7679.53,4619.75
vaxbase,vax70,20-64 yrs,60,Non-high,1913202,-5544056.68,"$5,582,212 ","$38,329,088 ","$843,660 ",194.43,194.54,28695.01
vaxbase,vax70,65+ yrs,60,High,157982,-52891632.39,"$52,867,468 ","$3,165,005 ","$670,411 ",3807.23,3806.69,13888.05
vaxbase,vax70,65+ yrs,60,Non-high,150576,-8257209.14,"$8,645,930 ","$3,016,646 ","$106,517 ",418.51,508.49,17003.16
